observation_date,10Y_3MTreasury,real_personal income,real_personal_income_chg,industrial_Prod,industrial_Prod_chg,real_manu,real_manu_chg,non_farm,non_farm_chg
1982-01-01,1.68000000,5129.60000000,0.00000000,48.91140000,0.00000000,555271.43300000,0.00000000,90565.00000000,0.00000000
1982-02-01,0.15000000,5148.50000000,0.00368450,49.91020000,0.02042060,564134.92900000,0.01596246,90563.00000000,-0.00002208
1982-03-01,0.55000000,5144.10000000,-0.00085462,49.56910000,-0.00683427,564585.52900000,0.00079875,90434.00000000,-0.00142442
1982-04-01,0.53000000,5173.50000000,0.00571529,49.11460000,-0.00916902,565222.71600000,0.00112859,90150.00000000,-0.00314041
1982-05-01,0.91000000,5174.70000000,0.00023195,48.78050000,-0.00680246,568131.94300000,0.00514705,90107.00000000,-0.00047698
1982-06-01,1.22000000,5152.60000000,-0.00427078,48.66060000,-0.00245795,560076.98900000,-0.01417796,89865.00000000,-0.00268570
1982-07-01,2.08000000,5133.20000000,-0.00376509,48.48630000,-0.00358195,557917.91600000,-0.00385496,89521.00000000,-0.00382796
1982-08-01,4.06000000,5143.30000000,0.00196758,48.05690000,-0.00885611,552802.65200000,-0.00916849,89363.00000000,-0.00176495
1982-09-01,4.15000000,5132.20000000,-0.00215815,47.93030000,-0.00263438,553870.13000000,0.00193103,89183.00000000,-0.00201426
1982-10-01,2.94000000,5121.50000000,-0.00208488,47.47380000,-0.00952425,548169.72000000,-0.01029196,88907.00000000,-0.00309476
1982-11-01,2.20000000,5124.70000000,0.00062482,47.32000000,-0.00323968,549662.41300000,0.00272305,88786.00000000,-0.00136097
1982-12-01,2.34000000,5153.90000000,0.00569789,46.98130000,-0.00715765,548151.95000000,-0.00274798,88771.00000000,-0.00016895
1983-01-01,2.34000000,5158.80000000,0.00095074,47.85230000,0.01853929,558612.22100000,0.01908279,88990.00000000,0.00246702
1983-02-01,2.33000000,5158.20000000,-0.00011631,47.56670000,-0.00596837,556258.94500000,-0.00421272,88917.00000000,-0.00082032
1983-03-01,1.85000000,5178.10000000,0.00385793,47.95990000,0.00826629,565588.27300000,0.01677156,89090.00000000,0.00194563
1983-04-01,1.89000000,5186.20000000,0.00156428,48.55640000,0.01243747,565536.23200000,-0.00009201,89364.00000000,0.00307554
1983-05-01,1.88000000,5210.00000000,0.00458910,48.86470000,0.00634932,574324.83900000,0.01554031,89644.00000000,0.00313325
1983-06-01,1.71000000,5224.50000000,0.00278311,49.15580000,0.00595727,589080.40900000,0.02569203,90021.00000000,0.00420552
1983-07-01,1.93000000,5255.40000000,0.00591444,49.88730000,0.01488126,588766.89300000,-0.00053221,90437.00000000,0.00462114
1983-08-01,2.11000000,5249.80000000,-0.00106557,50.48430000,0.01196697,587804.76600000,-0.00163414,90129.00000000,-0.00340569
1983-09-01,2.29000000,5296.00000000,0.00880034,51.21600000,0.01449361,596800.26900000,0.01530356,91247.00000000,0.01240444
1983-10-01,2.55000000,5357.90000000,0.01168807,51.61390000,0.00776906,603339.68300000,0.01095746,91520.00000000,0.00299188
1983-11-01,2.58000000,5392.60000000,0.00647642,51.84200000,0.00441935,609531.31100000,0.01026226,91875.00000000,0.00387893
1983-12-01,2.47000000,5443.10000000,0.00936468,52.09480000,0.00487636,620820.43200000,0.01852099,92230.00000000,0.00386395
1984-01-01,2.41000000,5465.70000000,0.00415205,53.13480000,0.01996360,624832.67700000,0.00646281,92673.00000000,0.00480321
1984-02-01,2.38000000,5506.30000000,0.00742814,53.37630000,0.00454504,624496.31400000,-0.00053832,93157.00000000,0.00522266
1984-03-01,2.43000000,5542.40000000,0.00655613,53.63140000,0.00477927,625030.68800000,0.00085569,93429.00000000,0.00291980
1984-04-01,2.56000000,5581.40000000,0.00703666,53.94910000,0.00592377,628493.32800000,0.00553995,93792.00000000,0.00388530
1984-05-01,3.19000000,5597.40000000,0.00286666,54.23960000,0.00538471,633458.81500000,0.00790062,94098.00000000,0.00326254
1984-06-01,3.30000000,5644.30000000,0.00837889,54.42880000,0.00348823,639093.22100000,0.00889467,94479.00000000,0.00404897
1984-07-01,2.83000000,5660.90000000,0.00294102,54.58650000,0.00289736,635680.08400000,-0.00534059,94789.00000000,0.00328115
1984-08-01,1.82000000,5699.40000000,0.00680104,54.65300000,0.00121825,635520.15200000,-0.00025159,95032.00000000,0.00256359
1984-09-01,1.73000000,5751.90000000,0.00921150,54.49490000,-0.00289280,634736.99600000,-0.00123231,95344.00000000,0.00328310
